Accident_ID,Accident_Date,Accident_Hour,Report_Timestamp,District,Road_Type,Weather_Condition,Surface_Condition,Light_Condition,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Gender,Alcohol_Involved,Vehicle_Speed_kmph,Helmet_Used,Seatbelt_Used,Cause_Category,Accident_Severity,Casualties_Count,Injury_Type,Emergency_Response_Time_Min,Accident_Year,Accident_Month,Day_Of_Week,Is_Weekend,Time_Block,Age_Group,High_Speed,Delayed_Response,Night_Driving,Multiple_Casualties
Ker_Acc_100532,2023-12-12,21,2023-12-12 22:35:00,Palakkad,Urban Road,Clear,Dry,Night,High,Truck,18,Female,No,61,Not Applicable,No,Mechanical Failure,Minor,0,Minor Injury,21.0,2023,December,Tuesday,False,Evening,Young,No,Yes,Yes,No
Ker_Acc_100534,2023-05-03,2,2023-05-03 05:33:00,Wayanad,Highway,Rain,Wet,Night,Medium,Auto Rickshaw,69,Male,No,94,Not Applicable,Not Applicable,Mechanical Failure,Serious,3,Major Injury,38.0,2023,May,Wednesday,False,Late Night,Senior,Yes,Yes,Yes,Yes
Ker_Acc_100535,2023-07-08,8,2023-07-08 10:22:00,Wayanad,Urban Road,Clear,Dry,Day,Low,Motorcycle,35,Female,No,64,Yes,Not Applicable,Overspeeding,Minor,0,Minor Injury,15.0,2023,July,Saturday,True,Morning,Adult,No,No,No,No
Ker_Acc_100536,2025-03-06,1,2025-03-06 03:08:00,Kottayam,Rural Road,Storm,Dry,Night,Low,Motorcycle,46,Female,Yes,68,Yes,Not Applicable,Weather Conditions,Serious,2,Major Injury,39.0,2025,March,Thursday,False,Late Night,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100537,2024-10-22,15,2024-10-22 15:47:00,Pathanamthitta,Highway,Fog,Dry,Day,Medium,Truck,59,Male,Yes,99,Not Applicable,Yes,Distracted Driving,Serious,3,Major Injury,24.0,2024,October,Tuesday,False,Afternoon,Middle Age,Yes,Yes,No,Yes
Ker_Acc_100538,2023-03-16,2,2023-03-16 03:45:00,Thiruvananthapuram,Urban Road,Rain,Dry,Night,High,Car,59,Female,No,57,Not Applicable,No,Overspeeding,Serious,2,Minor Injury,39.0,2023,March,Thursday,False,Late Night,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100539,2023-06-05,22,2023-06-06 00:06:00,Kottayam,Highway,Clear,Dry,Night,Low,Car,45,Male,No,99,Not Applicable,Yes,Distracted Driving,Minor,1,Minor Injury,7.0,2023,June,Monday,False,Evening,Middle Age,Yes,No,Yes,No
Ker_Acc_100540,2024-12-06,15,2024-12-06 17:37:00,Ernakulam,Rural Road,Clear,Wet,Day,High,Motorcycle,43,Female,Yes,40,Yes,Not Applicable,Mechanical Failure,Serious,3,Minor Injury,40.0,2024,December,Friday,False,Afternoon,Middle Age,No,Yes,No,Yes
Ker_Acc_100541,2025-05-23,10,2025-05-23 12:07:00,Palakkad,Highway,Rain,Wet,Day,High,Auto Rickshaw,29,Female,No,115,Not Applicable,Not Applicable,Distracted Driving,Serious,3,Major Injury,40.0,2025,May,Friday,False,Morning,Adult,Yes,Yes,No,Yes
Ker_Acc_100542,2023-07-15,9,2023-07-15 11:28:00,Kozhikode,Urban Road,Rain,Wet,Day,Medium,Car,23,Male,No,49,Not Applicable,Yes,Mechanical Failure,Minor,2,No Injury,19.0,2023,July,Saturday,True,Morning,Young,No,No,No,Yes
Ker_Acc_100543,2023-07-17,0,2023-07-17 03:22:00,Thiruvananthapuram,Urban Road,Clear,Dry,Night,Medium,Auto Rickshaw,59,Female,No,52,Not Applicable,Not Applicable,Drunk Driving,Minor,0,Minor Injury,22.0,2023,July,Monday,False,Late Night,Middle Age,No,Yes,Yes,No
Ker_Acc_100544,2023-02-07,10,2023-02-07 11:34:00,Thiruvananthapuram,Urban Road,Clear,Dry,Day,Medium,Truck,31,Male,No,99,Not Applicable,Yes,Overspeeding,Minor,2,Minor Injury,21.0,2023,February,Tuesday,False,Morning,Adult,Yes,Yes,No,Yes
Ker_Acc_100545,2024-08-16,7,2024-08-16 08:22:00,Wayanad,Urban Road,Clear,Dry,Day,Medium,Bus,19,Male,No,75,Not Applicable,No,Mechanical Failure,Minor,2,Minor Injury,24.0,2024,August,Friday,False,Morning,Young,No,Yes,No,Yes
Ker_Acc_100546,2023-06-26,20,2023-06-26 21:26:00,Thiruvananthapuram,Junction,Clear,Dry,Night,High,Car,28,Male,No,81,Not Applicable,Not Applicable,Weather Conditions,Minor,0,No Injury,7.0,2023,June,Monday,False,Evening,Adult,Yes,No,Yes,No
Ker_Acc_100547,2024-05-24,19,2024-05-24 22:33:00,Kollam,Rural Road,Rain,Muddy,Night,Low,Car,39,Male,No,75,Not Applicable,Yes,Mechanical Failure,Minor,1,Minor Injury,17.0,2024,May,Friday,False,Evening,Adult,No,No,Yes,No
Ker_Acc_100548,2025-05-06,6,2025-05-06 07:04:00,Malappuram,Urban Road,Clear,Dry,Day,Medium,Motorcycle,35,Female,No,66,No,Not Applicable,Weather Conditions,Serious,1,Minor Injury,23.0,2025,May,Tuesday,False,Morning,Adult,No,Yes,No,No
Ker_Acc_100549,2023-06-18,14,2023-06-18 16:48:00,Malappuram,Urban Road,Storm,Dry,Day,Low,Auto Rickshaw,44,Female,No,55,Not Applicable,Not Applicable,Distracted Driving,Minor,1,Minor Injury,5.0,2023,June,Sunday,True,Afternoon,Middle Age,No,No,No,No
Ker_Acc_100550,2023-01-07,0,2023-01-07 00:38:00,Kollam,Urban Road,Clear,Dry,Night,Medium,Car,62,Male,No,54,Not Applicable,Not Applicable,Overspeeding,Minor,2,No Injury,20.0,2023,January,Saturday,True,Late Night,Senior,No,No,Yes,Yes
Ker_Acc_100551,2024-10-17,8,2024-10-17 10:33:00,Pathanamthitta,Rural Road,Rain,Wet,Day,Low,Car,62,Male,Yes,111,Not Applicable,Yes,Weather Conditions,Fatal,3,Fatal Injury,31.0,2024,October,Thursday,False,Morning,Senior,Yes,Yes,No,Yes
Ker_Acc_100552,2025-04-26,9,2025-04-26 11:14:00,Kozhikode,Rural Road,Fog,Dry,Day,High,Motorcycle,51,Male,No,82,Yes,Not Applicable,Weather Conditions,Serious,1,Major Injury,29.0,2025,April,Saturday,True,Morning,Middle Age,Yes,Yes,No,No
Ker_Acc_100553,2025-02-27,20,2025-02-27 21:40:00,Thrissur,Highway,Rain,Wet,Night,Low,Truck,61,Male,No,96,Not Applicable,Yes,Drunk Driving,Serious,3,Minor Injury,39.0,2025,February,Thursday,False,Evening,Senior,Yes,Yes,Yes,Yes
Ker_Acc_100554,2024-11-17,1,2024-11-17 03:53:00,Pathanamthitta,Urban Road,Clear,Dry,Night,Medium,Motorcycle,39,Male,No,35,No,Not Applicable,Distracted Driving,Minor,0,No Injury,19.0,2024,November,Sunday,True,Late Night,Adult,No,No,Yes,No
Ker_Acc_100555,2023-06-30,5,2023-06-30 06:02:00,Palakkad,Bridge,Clear,Dry,Night,Medium,Auto Rickshaw,64,Female,No,43,Not Applicable,Not Applicable,Mechanical Failure,Minor,2,No Injury,23.0,2023,June,Friday,False,Late Night,Senior,No,Yes,Yes,Yes
Ker_Acc_100556,2023-07-23,23,2023-07-24 01:11:00,Ernakulam,Urban Road,Clear,Dry,Day,Medium,Car,24,Female,No,73,Not Applicable,Yes,Drunk Driving,Minor,0,Minor Injury,18.0,2023,July,Sunday,True,Evening,Young,No,No,Yes,No
Ker_Acc_100557,2023-03-17,15,2023-03-17 17:46:00,Alappuzha,Urban Road,Clear,Dry,Day,Medium,Car,57,Female,No,96,Not Applicable,Yes,Distracted Driving,Minor,1,No Injury,17.0,2023,March,Friday,False,Afternoon,Middle Age,Yes,No,No,No
Ker_Acc_100558,2023-07-18,20,2023-07-18 21:36:00,Wayanad,Bridge,Rain,Wet,Night,High,Motorcycle,21,Female,No,98,Yes,Not Applicable,Overspeeding,Serious,3,Major Injury,13.0,2023,July,Tuesday,False,Evening,Young,Yes,No,Yes,Yes
Ker_Acc_100559,2023-06-25,10,2023-06-25 11:34:00,Ernakulam,Rural Road,Clear,Dry,Dawn/Dusk,Medium,Bus,28,Male,No,70,Not Applicable,Yes,Distracted Driving,Minor,2,Minor Injury,22.0,2023,June,Sunday,True,Morning,Adult,No,Yes,No,Yes
Ker_Acc_100560,2025-05-27,16,2025-05-27 17:31:00,Ernakulam,Rural Road,Clear,Dry,Day,Medium,Motorcycle,18,Female,No,80,Not Applicable,Yes,Weather Conditions,Minor,0,Minor Injury,19.0,2025,May,Tuesday,False,Afternoon,Young,No,No,No,No
Ker_Acc_100562,2025-04-09,22,2025-04-09 23:22:00,Thrissur,Urban Road,Clear,Wet,Night,Low,Bus,66,Male,Yes,73,Not Applicable,Yes,Distracted Driving,Serious,3,Minor Injury,33.0,2025,April,Wednesday,False,Evening,Senior,No,Yes,Yes,Yes
Ker_Acc_100563,2024-01-03,9,2024-01-03 12:05:00,Pathanamthitta,Urban Road,Clear,Dry,Day,Medium,Car,63,Male,No,57,Not Applicable,Yes,Overspeeding,Minor,2,No Injury,23.0,2024,January,Wednesday,False,Morning,Senior,No,Yes,No,Yes
Ker_Acc_100564,2024-04-19,4,2024-04-19 06:43:00,Thrissur,Highway,Clear,Dry,Night,Low,Car,44,Female,No,73,Not Applicable,Yes,Mechanical Failure,Serious,3,Minor Injury,19.0,2024,April,Friday,False,Late Night,Middle Age,No,No,Yes,Yes
Ker_Acc_100565,2024-12-08,10,2024-12-08 10:46:00,Ernakulam,Urban Road,Clear,Dry,Day,Medium,Car,52,Male,No,72,Not Applicable,Yes,Overspeeding,Minor,2,Minor Injury,11.0,2024,December,Sunday,True,Morning,Middle Age,No,No,No,Yes
Ker_Acc_100566,2023-12-10,23,2023-12-11 00:18:00,Malappuram,Urban Road,Rain,Wet,Night,Low,Motorcycle,25,Female,No,87,Not Applicable,Yes,Mechanical Failure,Minor,0,Minor Injury,19.0,2023,December,Sunday,True,Evening,Young,Yes,No,Yes,No
Ker_Acc_100567,2023-06-29,20,2023-06-29 20:57:00,Idukki,Rural Road,Clear,Dry,Night,High,Auto Rickshaw,39,Female,No,68,Not Applicable,Not Applicable,Distracted Driving,Minor,0,Minor Injury,8.0,2023,June,Thursday,False,Evening,Adult,No,No,Yes,No
Ker_Acc_100568,2025-02-09,18,2025-02-09 19:53:00,Malappuram,Rural Road,Clear,Dry,Day,Low,Motorcycle,40,Female,No,92,Yes,Not Applicable,Drunk Driving,Minor,1,No Injury,21.0,2025,February,Sunday,True,Evening,Adult,Yes,Yes,Yes,No
Ker_Acc_100569,2023-03-06,11,2023-03-06 13:22:00,Thiruvananthapuram,Highway,Rain,Muddy,Dawn/Dusk,High,Motorcycle,63,Female,No,75,Yes,Not Applicable,Overspeeding,Serious,2,Minor Injury,36.0,2023,March,Monday,False,Morning,Senior,No,Yes,No,Yes
Ker_Acc_100570,2024-09-27,11,2024-09-27 14:48:00,Thrissur,Urban Road,Clear,Dry,Day,Low,Auto Rickshaw,47,Male,Yes,65,Not Applicable,Not Applicable,Distracted Driving,Minor,0,Minor Injury,17.0,2024,September,Friday,False,Morning,Middle Age,No,No,No,No
Ker_Acc_100571,2023-03-20,3,2023-03-20 04:25:00,Kottayam,Rural Road,Clear,Dry,Night,Medium,Motorcycle,31,Female,No,58,No,Not Applicable,Weather Conditions,Minor,1,Minor Injury,25.0,2023,March,Monday,False,Late Night,Adult,No,Yes,Yes,No
Ker_Acc_100572,2024-07-08,4,2024-07-08 06:03:00,Kozhikode,Highway,Rain,Muddy,Night,High,Car,36,Male,No,89,Not Applicable,Yes,Weather Conditions,Serious,1,Minor Injury,10.0,2024,July,Monday,False,Late Night,Adult,Yes,No,Yes,No
Ker_Acc_100573,2024-06-16,20,2024-06-16 22:11:00,Kasaragod,Urban Road,Clear,Dry,Night,Medium,Motorcycle,49,Female,No,36,Yes,Not Applicable,Distracted Driving,Minor,2,No Injury,21.0,2024,June,Sunday,True,Evening,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100574,2023-11-08,18,2023-11-08 19:31:00,Thrissur,Highway,Rain,Wet,Dawn/Dusk,High,Truck,44,Male,No,69,Not Applicable,Yes,Distracted Driving,Minor,2,Major Injury,34.0,2023,November,Wednesday,False,Evening,Middle Age,No,Yes,Yes,Yes
Ker_Acc_100575,2023-10-19,14,2023-10-19 16:53:00,Idukki,Highway,Rain,Wet,Day,Low,Car,29,Male,No,116,Not Applicable,Yes,Mechanical Failure,Minor,3,Major Injury,36.0,2023,October,Thursday,False,Afternoon,Adult,Yes,Yes,No,Yes
Ker_Acc_100576,2023-09-01,3,2023-09-01 04:28:00,Pathanamthitta,Urban Road,Fog,Wet,Night,High,Motorcycle,29,Female,No,68,No,Not Applicable,Distracted Driving,Serious,1,Minor Injury,32.0,2023,September,Friday,False,Late Night,Adult,No,Yes,Yes,No
Ker_Acc_100577,2023-06-01,11,2023-06-01 13:51:00,Idukki,Rural Road,Clear,Dry,Day,Medium,Motorcycle,43,Female,No,42,Yes,Not Applicable,Mechanical Failure,Minor,1,Minor Injury,9.0,2023,June,Thursday,False,Morning,Middle Age,No,No,No,No
Ker_Acc_100578,2023-01-05,23,2023-01-06 01:48:00,Pathanamthitta,Rural Road,Rain,Muddy,Night,Medium,Car,44,Male,No,54,Not Applicable,Yes,Weather Conditions,Serious,1,Major Injury,34.0,2023,January,Thursday,False,Evening,Middle Age,No,Yes,Yes,No
Ker_Acc_100579,2024-08-01,23,2024-08-02 01:56:00,Kannur,Urban Road,Rain,Wet,Night,High,Bus,26,Female,No,72,Not Applicable,Yes,Distracted Driving,Minor,2,Minor Injury,8.0,2024,August,Thursday,False,Evening,Adult,No,No,Yes,Yes
Ker_Acc_100580,2025-05-11,7,2025-05-11 09:04:00,Malappuram,Highway,Rain,Wet,Day,Medium,Motorcycle,30,Female,No,76,Yes,Not Applicable,Overspeeding,Serious,3,Major Injury,17.0,2025,May,Sunday,True,Morning,Adult,No,No,No,Yes
Ker_Acc_100581,2023-01-24,2,2023-01-24 04:33:00,Alappuzha,Urban Road,Clear,Dry,Night,Medium,Truck,43,Male,No,71,Not Applicable,Yes,Overspeeding,Minor,1,No Injury,15.0,2023,January,Tuesday,False,Late Night,Middle Age,No,No,Yes,No
Ker_Acc_100584,2023-08-01,9,2023-08-01 11:49:00,Pathanamthitta,Urban Road,Clear,Wet,Day,Low,Car,23,Female,Yes,62,Not Applicable,Yes,Weather Conditions,Serious,3,Minor Injury,30.0,2023,August,Tuesday,False,Morning,Young,No,Yes,No,Yes
Ker_Acc_100585,2024-07-23,14,2024-07-23 17:15:00,Pathanamthitta,Junction,Rain,Muddy,Day,Medium,Truck,44,Female,No,50,Not Applicable,No,Drunk Driving,Minor,0,No Injury,20.0,2024,July,Tuesday,False,Afternoon,Middle Age,No,No,No,No
Ker_Acc_100586,2024-08-22,9,2024-08-22 11:59:00,Kasaragod,Urban Road,Clear,Wet,Day,Medium,Car,27,Female,No,63,Not Applicable,Yes,Weather Conditions,Minor,0,Minor Injury,25.0,2024,August,Thursday,False,Morning,Adult,No,Yes,No,No
Ker_Acc_100587,2024-10-31,21,2024-10-31 23:15:00,Kollam,Urban Road,Clear,Dry,Night,Medium,Bus,19,Male,Yes,53,Not Applicable,Yes,Distracted Driving,Minor,0,Minor Injury,13.0,2024,October,Thursday,False,Evening,Young,No,No,Yes,No
Ker_Acc_100588,2025-02-02,11,2025-02-02 13:45:00,Malappuram,Junction,Rain,Muddy,Dawn/Dusk,Low,Motorcycle,61,Male,No,39,Not Applicable,Yes,Drunk Driving,Minor,2,Minor Injury,8.0,2025,February,Sunday,True,Morning,Senior,No,No,No,Yes
Ker_Acc_100589,2023-09-23,5,2023-09-23 05:56:00,Kasaragod,Highway,Rain,Muddy,Night,Medium,Auto Rickshaw,28,Female,Yes,96,Not Applicable,Not Applicable,Mechanical Failure,Minor,3,Fatal Injury,40.5,2023,September,Saturday,True,Late Night,Adult,Yes,Yes,Yes,Yes
Ker_Acc_100590,2023-12-31,1,2023-12-31 02:37:00,Kozhikode,Urban Road,Clear,Dry,Night,Low,Auto Rickshaw,30,Male,No,62,Not Applicable,Not Applicable,Mechanical Failure,Minor,1,No Injury,10.0,2023,December,Sunday,True,Late Night,Adult,No,No,Yes,No
Ker_Acc_100591,2025-02-09,5,2025-02-09 07:01:00,Malappuram,Junction,Clear,Dry,Night,Medium,Truck,61,Female,No,48,Not Applicable,No,Distracted Driving,Minor,2,Minor Injury,16.0,2025,February,Sunday,True,Late Night,Senior,No,No,Yes,Yes
Ker_Acc_100592,2023-05-28,0,2023-05-28 02:25:00,Kasaragod,Rural Road,Clear,Wet,Night,High,Motorcycle,39,Male,No,50,No,Not Applicable,Drunk Driving,Minor,2,No Injury,10.0,2023,May,Sunday,True,Late Night,Adult,No,No,Yes,Yes
Ker_Acc_100594,2025-04-18,4,2025-04-18 05:08:00,Kollam,Urban Road,Clear,Dry,Night,High,Car,70,Female,No,64,Not Applicable,Yes,Drunk Driving,Minor,2,Minor Injury,24.0,2025,April,Friday,False,Late Night,Senior,No,Yes,Yes,Yes
Ker_Acc_100595,2024-12-27,9,2024-12-27 09:36:00,Pathanamthitta,Urban Road,Clear,Dry,Day,Medium,Motorcycle,37,Female,No,40,Yes,Not Applicable,Mechanical Failure,Minor,2,Minor Injury,9.0,2024,December,Friday,False,Morning,Adult,No,No,No,Yes
Ker_Acc_100031,2025-02-20,3,2025-02-20 03:13:00,Wayanad,Urban Road,Clear,Wet,Day,Low,Car,30,Male,Yes,58,Not Applicable,Yes,Weather Conditions,Serious,3,Major Injury,35.0,2025,February,Thursday,False,Late Night,Adult,No,Yes,Yes,Yes
Ker_Acc_100597,2023-05-02,8,2023-05-02 08:23:00,Thrissur,Junction,Clear,Dry,Day,Low,Auto Rickshaw,56,Male,No,40,Not Applicable,Not Applicable,Distracted Driving,Minor,1,Minor Injury,11.0,2023,May,Tuesday,False,Morning,Middle Age,No,No,No,No
Ker_Acc_100598,2023-12-26,0,2023-12-26 00:47:00,Kozhikode,Urban Road,Rain,Dry,Night,Medium,Motorcycle,40,Male,No,68,Yes,Not Applicable,Mechanical Failure,Serious,3,Major Injury,19.0,2023,December,Tuesday,False,Late Night,Adult,No,No,Yes,Yes
Ker_Acc_100599,2024-08-06,2,2024-08-06 04:39:00,Palakkad,Urban Road,Storm,Wet,Night,Medium,Motorcycle,36,Male,No,33,Yes,Not Applicable,Distracted Driving,Serious,2,Major Injury,34.0,2024,August,Tuesday,False,Late Night,Adult,No,Yes,Yes,Yes
Ker_Acc_100600,2024-05-31,22,2024-06-01 00:08:00,Alappuzha,Urban Road,Clear,Wet,Night,High,Motorcycle,29,Male,No,75,Yes,Not Applicable,Drunk Driving,Minor,0,Minor Injury,17.0,2024,May,Friday,False,Evening,Adult,No,No,Yes,No
Ker_Acc_100601,2023-04-26,10,2023-04-26 12:11:00,Malappuram,Rural Road,Fog,Dry,Day,Medium,Motorcycle,63,Female,No,72,No,Not Applicable,Overspeeding,Minor,0,Minor Injury,6.0,2023,April,Wednesday,False,Morning,Senior,No,No,No,No
Ker_Acc_100603,2025-04-01,15,2025-04-01 17:22:00,Kasaragod,Junction,Rain,Wet,Day,Low,Motorcycle,43,Male,No,78,Not Applicable,Not Applicable,Overspeeding,Serious,2,Major Injury,31.0,2025,April,Tuesday,False,Afternoon,Middle Age,No,Yes,No,Yes
Ker_Acc_100604,2024-02-09,12,2024-02-09 15:20:00,Malappuram,Highway,Clear,Wet,Day,Medium,Car,41,Female,No,74,Not Applicable,Yes,Weather Conditions,Minor,2,Minor Injury,15.0,2024,February,Friday,False,Afternoon,Middle Age,No,No,No,Yes
Ker_Acc_100605,2023-08-27,13,2023-08-27 15:58:00,Kollam,Highway,Clear,Dry,Day,Medium,Auto Rickshaw,35,Female,No,80,Not Applicable,Not Applicable,Drunk Driving,Minor,2,No Injury,25.0,2023,August,Sunday,True,Afternoon,Adult,No,Yes,No,Yes
Ker_Acc_100606,2024-05-02,21,2024-05-02 23:26:00,Idukki,Urban Road,Clear,Dry,Night,Medium,Car,24,Male,No,54,Not Applicable,Yes,Mechanical Failure,Minor,2,Minor Injury,20.0,2024,May,Thursday,False,Evening,Young,No,No,Yes,Yes
Ker_Acc_100607,2023-04-12,23,2023-04-12 23:25:00,Thiruvananthapuram,Highway,Clear,Wet,Night,Medium,Car,56,Male,No,114,Not Applicable,Yes,Distracted Driving,Serious,1,Major Injury,14.0,2023,April,Wednesday,False,Evening,Middle Age,Yes,No,Yes,No
Ker_Acc_100608,2023-03-20,21,2023-03-21 00:06:00,Kannur,Bridge,Clear,Dry,Night,Low,Truck,36,Female,No,74,Not Applicable,Yes,Distracted Driving,Minor,0,Minor Injury,19.0,2023,March,Monday,False,Evening,Adult,No,No,Yes,No
Ker_Acc_100609,2025-05-30,17,2025-05-30 17:43:00,Kannur,Rural Road,Clear,Dry,Day,Medium,Bus,42,Male,No,58,Not Applicable,Yes,Weather Conditions,Minor,1,Minor Injury,17.0,2025,May,Friday,False,Afternoon,Middle Age,No,No,No,No
Ker_Acc_100610,2023-07-01,17,2023-07-01 19:04:00,Thiruvananthapuram,Highway,Clear,Muddy,Day,Medium,Auto Rickshaw,26,Female,No,95,Not Applicable,Not Applicable,Mechanical Failure,Minor,1,Minor Injury,17.0,2023,July,Saturday,True,Afternoon,Adult,Yes,No,No,No
Ker_Acc_100611,2023-04-23,18,2023-04-23 20:53:00,Kannur,Urban Road,Rain,Wet,Day,Low,Auto Rickshaw,48,Male,No,62,Not Applicable,Not Applicable,Weather Conditions,Minor,2,No Injury,10.0,2023,April,Sunday,True,Evening,Middle Age,No,No,Yes,Yes
Ker_Acc_100612,2023-09-27,15,2023-09-27 17:18:00,Ernakulam,Junction,Clear,Dry,Day,High,Truck,21,Female,Yes,44,Not Applicable,No,Weather Conditions,Minor,1,No Injury,6.0,2023,September,Wednesday,False,Afternoon,Young,No,No,No,No
Ker_Acc_100614,2023-09-08,7,2023-09-08 10:05:00,Kozhikode,Junction,Clear,Dry,Dawn/Dusk,High,Car,25,Male,No,64,Not Applicable,Yes,Overspeeding,Minor,0,No Injury,5.0,2023,September,Friday,False,Morning,Young,No,No,No,No
Ker_Acc_100616,2024-08-09,3,2024-08-09 06:01:00,Idukki,Bridge,Rain,Muddy,Night,Medium,Car,49,Female,No,68,Not Applicable,Yes,Weather Conditions,Minor,0,No Injury,19.0,2024,August,Friday,False,Late Night,Middle Age,No,No,Yes,No
Ker_Acc_100617,2024-03-22,6,2024-03-22 09:18:00,Idukki,Junction,Rain,Wet,Day,Medium,Car,36,Female,No,47,Not Applicable,Yes,Overspeeding,Minor,2,Minor Injury,14.0,2024,March,Friday,False,Morning,Adult,No,No,No,Yes
Ker_Acc_100618,2023-08-20,19,2023-08-20 20:15:00,Kannur,Highway,Clear,Dry,Night,Medium,Motorcycle,39,Female,No,79,Yes,Not Applicable,Weather Conditions,Minor,0,Minor Injury,23.0,2023,August,Sunday,True,Evening,Adult,No,Yes,Yes,No
Ker_Acc_100619,2023-08-03,11,2023-08-03 12:14:00,Ernakulam,Rural Road,Rain,Wet,Day,Medium,Motorcycle,45,Female,No,77,Yes,Not Applicable,Weather Conditions,Serious,2,Major Injury,20.0,2023,August,Thursday,False,Morning,Middle Age,No,No,No,Yes
Ker_Acc_100031,2024-04-18,4,2024-04-18 04:58:00,Idukki,Urban Road,Clear,Dry,Night,Medium,Motorcycle,44,Male,No,90,Yes,Not Applicable,Drunk Driving,Serious,2,Major Injury,36.0,2024,April,Thursday,False,Late Night,Middle Age,Yes,Yes,Yes,Yes
Ker_Acc_100623,2024-02-27,8,2024-02-27 10:10:00,Kasaragod,Rural Road,Rain,Wet,Dawn/Dusk,Low,Car,43,Male,No,63,Not Applicable,Yes,Mechanical Failure,Minor,2,Minor Injury,9.0,2024,February,Tuesday,False,Morning,Middle Age,No,No,No,Yes
Ker_Acc_100624,2025-04-27,9,2025-04-27 11:38:00,Kannur,Urban Road,Rain,Wet,Dawn/Dusk,Medium,Car,30,Female,No,57,Not Applicable,No,Weather Conditions,Minor,1,No Injury,9.0,2025,April,Sunday,True,Morning,Adult,No,No,No,No
Ker_Acc_100625,2024-07-17,5,2024-07-17 05:56:00,Kozhikode,Highway,Rain,Muddy,Night,Medium,Bus,23,Female,No,103,Not Applicable,Yes,Drunk Driving,Serious,1,Minor Injury,19.0,2024,July,Wednesday,False,Late Night,Young,Yes,No,Yes,No
Ker_Acc_100627,2023-04-03,7,2023-04-03 08:14:00,Thrissur,Urban Road,Clear,Wet,Day,Medium,Truck,65,Female,No,92,Not Applicable,Yes,Drunk Driving,Serious,3,Minor Injury,33.0,2023,April,Monday,False,Morning,Senior,Yes,Yes,No,Yes
Ker_Acc_100628,2023-05-28,3,2023-05-28 04:10:00,Alappuzha,Rural Road,Clear,Dry,Night,Low,Bus,21,Male,No,42,Not Applicable,Yes,Drunk Driving,Minor,2,Minor Injury,16.0,2023,May,Sunday,True,Late Night,Young,No,No,Yes,Yes
Ker_Acc_100629,2024-07-12,13,2024-07-12 16:29:00,Idukki,Bridge,Fog,Dry,Day,High,Auto Rickshaw,48,Female,No,89,Not Applicable,Not Applicable,Overspeeding,Serious,2,Minor Injury,36.0,2024,July,Friday,False,Afternoon,Middle Age,Yes,Yes,No,Yes
Ker_Acc_100632,2024-10-08,10,2024-10-08 13:45:00,Thrissur,Urban Road,Clear,Dry,Day,Medium,Motorcycle,70,Female,No,68,Yes,Not Applicable,Distracted Driving,Minor,1,No Injury,20.0,2024,October,Tuesday,False,Morning,Senior,No,No,No,No
Ker_Acc_100633,2023-12-07,22,2023-12-07 22:57:00,Kasaragod,Highway,Storm,Dry,Night,Low,Car,22,Female,No,98,Not Applicable,Yes,Overspeeding,Minor,2,No Injury,24.0,2023,December,Thursday,False,Evening,Young,Yes,Yes,Yes,Yes
Ker_Acc_100634,2024-12-12,0,2024-12-12 01:06:00,Thrissur,Rural Road,Clear,Dry,Night,Medium,Auto Rickshaw,68,Female,No,96,Not Applicable,Not Applicable,Drunk Driving,Serious,3,Major Injury,10.0,2024,December,Thursday,False,Late Night,Senior,Yes,No,Yes,Yes
Ker_Acc_100031,2024-10-05,9,2024-10-05 11:52:00,Alappuzha,Highway,Clear,Dry,Day,High,Motorcycle,63,Female,No,57,Yes,Not Applicable,Weather Conditions,Minor,2,Minor Injury,25.0,2024,October,Saturday,True,Morning,Senior,No,Yes,No,Yes
Ker_Acc_100636,2023-11-24,14,2023-11-24 15:09:00,Kannur,Urban Road,Clear,Dry,Day,Medium,Bus,69,Male,No,30,Not Applicable,Yes,Mechanical Failure,Minor,0,Minor Injury,7.0,2023,November,Friday,False,Afternoon,Senior,No,No,No,No
Ker_Acc_100637,2024-01-22,18,2024-01-22 18:24:00,Ernakulam,Urban Road,Rain,Wet,Day,Medium,Car,57,Male,No,32,Not Applicable,Not Applicable,Weather Conditions,Minor,1,Minor Injury,7.0,2024,January,Monday,False,Evening,Middle Age,No,No,Yes,No
Ker_Acc_100638,2024-12-19,5,2024-12-19 06:50:00,Kottayam,Rural Road,Clear,Wet,Night,Medium,Car,23,Male,No,69,Not Applicable,Yes,Weather Conditions,Minor,0,No Injury,10.0,2024,December,Thursday,False,Late Night,Young,No,No,Yes,No
Ker_Acc_100639,2025-01-05,16,2025-01-05 18:28:00,Thiruvananthapuram,Junction,Rain,Wet,Day,Medium,Car,63,Female,No,27,Not Applicable,Yes,Weather Conditions,Minor,0,Minor Injury,13.0,2025,January,Sunday,True,Afternoon,Senior,No,No,No,No
Ker_Acc_100640,2023-05-14,13,2023-05-14 14:51:00,Ernakulam,Junction,Storm,Wet,Dawn/Dusk,High,Motorcycle,44,Female,No,55,No,Not Applicable,Mechanical Failure,Serious,3,Major Injury,35.0,2023,May,Sunday,True,Afternoon,Middle Age,No,Yes,No,Yes
